id,University,Company Name,Department,Job Title,Skill
66,Dalhousie University,Skaboo,Product Management,VP Sales,Information Architecture
67,University of Victoria,Trudoo,Sales,Administrative Officer,DNV
68,Baker College of Auburn Hills,Devshare,Services,Research Assistant I,SRDS
69,Toccoa Falls College,Eare,Engineering,Clinical Specialist,Iptables
70,International Islamic University Chittagong,Jabbersphere,Engineering,Administrative Assistant II,DDoS Mitigation
71,Balkh University,Twinder,Legal,Account Representative I,WS
72,Atlanta College of Art,Camimbo,Legal,Administrative Officer,Eyelash Extensions
73,Suleyman Demirel University,Kamba,Accounting,Legal Assistant,WSS 2.0
74,Mayville State University,Quinu,Engineering,Civil Engineer,Online Publishing
75,Ilam University,Riffpedia,Legal,Senior Editor,CGEIT
76,Sree Sankaracharya University of Sanskrit,Gigabox,Business Development,Research Nurse,Pharmaceutical Industry
77,Aarhus Technical College,Myworks,Legal,Research Nurse,MDX
78,Universidad Centro Occidental Lisandro Alvarado,Jabbersphere,Sales,Desktop Support Technician,American Politics
79,Sylhet International University,Teklist,Human Resources,Financial Advisor,Agarose Gel Electrophoresis
80,Montana Tech,Skimia,Marketing,Community Outreach Specialist,Alternative Medicine
81,London Business School,Mycat,Legal,Senior Quality Engineer,PDE
82,United States Coast Guard Academy,Dabtype,Accounting,Technical Writer,Fluid Dynamics
83,University of Oradea,Tambee,Sales,Occupational Therapist,ePolicy Orchestrator
84,The CTL Eurocollege,Lazz,Marketing,Office Assistant I,Registered Patent Attorney
85,Dong-A University,Trudoo,Accounting,Senior Developer,ESB
86,Yunnan Agriculture University,Tagpad,Legal,Executive Secretary,Work Very Well with Others
87,"Instituto Superior Minero Metalúrgico ""Dr. Antonio Núñez Jiménez""",Zava,Sales,Environmental Tech,High Sense Of Urgency
88,Georgetown University,Realcube,Support,Information Systems Manager,VSEO
89,Tainan National College of the Arts,Mynte,Legal,Nurse Practicioner,Eyewonder
90,"St. Francis College, Loretto",Eazzy,Accounting,VP Sales,Localization
91,University of Calgary,Voolia,Support,Help Desk Technician,DFMA
92,State University of New York at Buffalo,Jetwire,Training,Data Coordiator,Navigation
93,Jordan Academy of Music / Higher Institute of Music,Photospace,Product Management,Compensation Analyst,TSRM
94,Baghyatoolah Medical Sciences University,Riffwire,Product Management,Actuary,Visual Studio
95,Universidade de Guarulhos,Ailane,Business Development,General Manager,AWS CWI
96,Baghlan University,Zoovu,Legal,Research Assistant II,Microbiology
97,University of Pecs,Tagfeed,Training,Budget/Accounting Analyst IV,Brain Gym
98,"Royal Free Hospital School of Medicine, University of London",Twitterwire,Legal,Media Manager II,Visio
99,Institute of Industrial Electronics Engineering,Minyx,Accounting,Office Assistant II,Employee Benefits
100,Nairobi Technical Training Institute ,Linkbuzz,Support,Pharmacist,NIR Spectroscopy
